Image_Code	Actual	Predicted	latitude	longitude	household_count_x	avg_roofcat_x	avg_wealthscore_x	year_x	geometry_survey	index_right	filenames	lat	lon	distance	year_y	clusterid	household_count_y	avg_roofcat_y	avg_wealthscore_y	roofcat	wealthindex	wealthscore	hhweight
253661-IMAGE_RGB_083_224x224_677dd0_299dd0_38dd91657909999999_2dd708308249999998_133dd0_224x224.png	0.0	0.0	2.740703	38.915554	22	0.0	1.0	2014	POINT (38.915554 2.740703)	170700	253661-IMAGE_RGB_083_224x224_677dd0_299dd0_38dd91657909999999_2dd708308249999998_133dd0_224x224.png	2.70830825	38.9165791	0.0324109650823991	2014	462	22	0.0	1.0	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-167019.0, -192114.0, -153143.0, -219676.0, -177877.0, -151596.0, -145267.0, -69502.0, -180788.0, -175760.0, -164109.0, -187268.0, -130062.0, -145844.0, -217470.0, -172491.0, -158578.0, -173131.0, -96176.0, -215865.0, -192429.0, -201713.0]	[220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468, 220468]
257455-IMAGE_RGB_083_224x224_687dd0_344dd0_39dd7499121_-1dd041690250000002_133dd0_224x224.png	0.0	0.0	-1.051664	39.73302	22	0.0	1.0	2014	POINT (39.73302 -1.051664)	174915	257455-IMAGE_RGB_083_224x224_687dd0_344dd0_39dd7499121_-1dd041690250000002_133dd0_224x224.png	-1.04169025	39.7499121	0.0196167971767179	2014	339	22	0.0	1.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-171303.0, -136742.0, -203520.0, -171203.0, -175538.0, -146976.0, -168035.0, -176773.0, -174736.0, -199823.0, -167020.0, -139843.0, -160418.0, -158265.0, -181385.0, -183466.0, -162870.0, -182763.0, -160467.0, -158136.0, -174993.0, -187141.0]	[163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901, 163901]
241739-IMAGE_RGB_083_224x224_650dd0_330dd0_36dd66658_0dd1249759499999996_133dd0_224x224.png	1.0	0.0	0.123589	36.686978	24	1.0		2003	POINT (36.686978 0.123589)	157470	241739-IMAGE_RGB_083_224x224_650dd0_330dd0_36dd66658_0dd1249759499999996_133dd0_224x224.png	0.12497595	36.66658	0.0204450980506943	2003	128	24	1.0		[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152, 2069152]
243217-IMAGE_RGB_083_224x224_653dd0_350dd0_36dd9165799_-1dd5416900500000033_133dd0_224x224.png	1.0	0.0	-1.579725	36.953958	25	1.0	3.0	2014	POINT (36.953958 -1.579725)	159113	243217-IMAGE_RGB_083_224x224_653dd0_350dd0_36dd9165799_-1dd5416900500000033_133dd0_224x224.png	-1.54169005	36.9165799	0.0533271017505391	2014	1394	25	1.0	3.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 1.0, 3.0, 1.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 3.0, 4.0, 1.0, 2.0, 2.0]	[5668.0, 9888.0, 6886.0, 60193.0, 880.0, -5729.0, -1403.0, -17855.0, -32219.0, -51126.0, -36454.0, -76384.0, 19590.0, -70356.0, -13961.0, 3220.0, -4574.0, 8315.0, -62850.0, -68594.0, -7512.0, 21155.0, -82352.0, -39176.0, -32239.0]	[607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179, 607179]
230215-IMAGE_RGB_083_224x224_628dd0_284dd0_34dd83324739999999_3dd95830775_133dd0_224x224.png	0.0	0.0	3.935281	34.793333	24	0.0		2003	POINT (34.793333 3.935281)	144667	230215-IMAGE_RGB_083_224x224_628dd0_284dd0_34dd83324739999999_3dd95830775_133dd0_224x224.png	3.95830775	34.8332474	0.046080261966731	2003	152	24	0.0		[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406, 378406]
248145-IMAGE_RGB_083_224x224_664dd0_312dd0_37dd83324619999999_1dd6249753499999997_133dd0_224x224.png	0.0	0.0	1.5924030000000002	37.838373	23	0.0	1.0	2014	POINT (37.838373 1.592403)	164576	248145-IMAGE_RGB_083_224x224_664dd0_312dd0_37dd83324619999999_1dd6249753499999997_133dd0_224x224.png	1.62497535	37.8332462	0.0329733538294555	2014	446	23	0.0	1.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-176717.0, -169079.0, -168792.0, -191972.0, -185097.0, -177997.0, -134213.0, -126565.0, -178505.0, -178955.0, -173719.0, -183465.0, -145919.0, -167878.0, -175951.0, -196728.0, -118570.0, -171038.0, -168792.0, -146563.0, -198509.0, -197660.0, -174564.0]	[93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193, 93193]
233075-IMAGE_RGB_083_224x224_633dd0_346dd0_35dd2499139_-1dd2083568500000013_133dd0_224x224.png	1.0	0.0	-1.196154	35.241983	23	1.0	3.0	2014	POINT (35.241983 -1.196154)	147844	233075-IMAGE_RGB_083_224x224_633dd0_346dd0_35dd2499139_-1dd2083568500000013_133dd0_224x224.png	-1.20835685	35.2499139	0.0145536498148258	2014	1358	23	1.0	3.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[3.0, 2.0, 4.0, 3.0, 3.0, 2.0, 4.0, 3.0, 4.0, 3.0, 3.0, 3.0, 3.0, 4.0, 2.0, 2.0, 4.0, 2.0, 3.0, 2.0, 2.0, 2.0, 3.0]	[-12023.0, -39094.0, 40447.0, -1837.0, 18723.0, -44862.0, 37228.0, 9971.0, 26201.0, -18519.0, 14785.0, -637.0, -16689.0, 44119.0, -47181.0, -53778.0, 51551.0, -20709.0, -15784.0, -55314.0, -39593.0, -45854.0, 5892.0]	[933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890, 933890]
257112-IMAGE_RGB_083_224x224_686dd0_338dd0_39dd6665788_-0dd5416904500000008_133dd0_224x224.png	0.0	0.0	-0.565648	39.659558	25	0.0	1.0	2008	POINT (39.659558 -0.565648)	174535	257112-IMAGE_RGB_083_224x224_686dd0_338dd0_39dd6665788_-0dd5416904500000008_133dd0_224x224.png	-0.54169045	39.6665788	0.024965092321932	2008	231	25	0.0	1.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-104015.0, -111737.0, -125485.0, -125268.0, -102523.0, -125612.0, -118082.0, -123531.0, -175062.0, -130817.0, -125277.0, -125032.0, -118483.0, -132638.0, -101503.0, -95283.0, -125274.0, -124520.0, -123978.0, -123018.0, -105123.0, -120916.0, -106794.0, -122970.0, -131220.0]	[561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788, 561788]
242705-IMAGE_RGB_083_224x224_652dd0_321dd0_36dd8332466_0dd8749756499999997_133dd0_224x224.png	0.0	0.0	0.8752720000000002	36.804193	21	0.0	1.0	2015	POINT (36.804193 0.8752720000000002)	158544	242705-IMAGE_RGB_083_224x224_652dd0_321dd0_36dd8332466_0dd8749756499999997_133dd0_224x224.png	0.87497565	36.8332466	0.0290551113624223	2015	164	21	0.0	1.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-199784.0, -199784.0, -161704.0, -177536.0, -173088.0, -197474.0, -139622.0, -192730.0, -177308.0, -93634.0, -158240.0, -173153.0, -199440.0, -187634.0, -194926.0, -168855.0, -156523.0, -171897.0, -192955.0, -177976.0, -167331.0]	[404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934, 404934]
239264-IMAGE_RGB_083_224x224_645dd0_331dd0_36dd24991349999999_0dd04164265_133dd0_224x224.png	1.0	1.0	0.050672	36.283538	24	1.0	3.0	2014	POINT (36.283538 0.050672)	154720	239264-IMAGE_RGB_083_224x224_645dd0_331dd0_36dd24991349999999_0dd04164265_133dd0_224x224.png	0.04164265	36.2499135	0.0348157458870642	2014	1291	24	1.0	3.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[3.0, 4.0, 5.0, 2.0, 3.0, 4.0, 4.0, 3.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 4.0, 3.0, 1.0, 2.0, 3.0]	[-18735.0, 45438.0, 110227.0, -22781.0, -14782.0, 27561.0, 71695.0, -9199.0, -24655.0, -13924.0, -37056.0, -49186.0, -19237.0, 9445.0, -13000.0, -25156.0, -48770.0, -7493.0, -3153.0, 42431.0, 6204.0, -60367.0, -31631.0, -11885.0]	[354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525, 354525]
