Image_Code	Actual	Predicted	Predicted_percent	latitude	longitude	household_count_x	avg_roofcat_x	avg_wealthscore_x	year_x	geometry_survey	index_right	filenames	lat	lon	distance	year_y	clusterid	household_count_y	avg_roofcat_y	avg_wealthscore_y	roofcat	wealthindex	wealthscore	hhweight
257104-IMAGE_RGB_083_224x224_686dd0_330dd0_39dd6665788_0dd1249759499999996_133dd0_224x224.png	1	0	0.6375496	0.150229	39.681839	22	1.0	1.0	2014	POINT (39.681839 0.150229)	174526	257104-IMAGE_RGB_083_224x224_686dd0_330dd0_39dd6665788_0dd1249759499999996_133dd0_224x224.png	0.12497595	39.6665788	0.0295057661880231	2014	719	22	1.0	1.0	[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-172062.0, -172642.0, -144628.0, -161791.0, -129916.0, -100133.0, -100551.0, -180517.0, -96790.0, -113603.0, -113187.0, -129071.0, -107732.0, -86545.0, -84667.0, -85472.0, -174783.0, -138960.0, -124437.0, -100238.0, -73397.0, -112331.0]	[172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808, 172808]
232520-IMAGE_RGB_083_224x224_632dd0_344dd0_35dd1665806_-1dd041690250000002_133dd0_224x224.png	0	0	0.12998918	-1.042602	35.135573	29	0.0	1.0	2015	POINT (35.135573 -1.042602)	147228	232520-IMAGE_RGB_083_224x224_632dd0_344dd0_35dd1665806_-1dd041690250000002_133dd0_224x224.png	-1.04169025	35.1665806	0.0310210016895432	2015	208	29	0.0	1.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 3.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 3.0, 2.0, 3.0, 2.0]	[-74450.0, -23187.0, -131122.0, -50986.0, -31368.0, -74155.0, -45081.0, -84658.0, -70497.0, 28831.0, -39405.0, -180510.0, -119668.0, -13257.0, -134490.0, -114951.0, -96730.0, -42329.0, -99742.0, -106828.0, -152335.0, -79521.0, -29738.0, -63919.0, -51032.0, -6641.0, -40344.0, -6742.0, -40219.0]	[800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174, 800174]
241770-IMAGE_RGB_083_224x224_650dd0_361dd0_36dd66658_-2dd4583563500000025_133dd0_224x224.png	0	0	0.0054884544	-2.473565	36.700277	25	0.0	1.0	2014	POINT (36.700277 -2.473565)	157505	241770-IMAGE_RGB_083_224x224_650dd0_361dd0_36dd66658_-2dd4583563500000025_133dd0_224x224.png	-2.45835635	36.66658	0.0369701344847738	2014	1382	25	0.0	1.0	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-124569.0, -164108.0, -158616.0, -191983.0, -195032.0, -130800.0, -27155.0, -189250.0, -173398.0, -140780.0, -160230.0, -160129.0, -182914.0, -106194.0, -128634.0, -94589.0, -177378.0, -91024.0, -139465.0, -130800.0, -156957.0, -150481.0, -192074.0, -178933.0, -155772.0]	[810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155, 810155]
256767-IMAGE_RGB_083_224x224_685dd0_337dd0_39dd58324549999999_-0dd4583571500000012_133dd0_224x224.png	1	0	0.0007875019	-0.463706	39.603718	20	1.0	4.0	2014	POINT (39.603718 -0.463706)	174150	256767-IMAGE_RGB_083_224x224_685dd0_337dd0_39dd58324549999999_-0dd4583571500000012_133dd0_224x224.png	-0.45835715	39.5832455	0.021159712960545	2014	349	20	1.0	4.0	[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 5.0, 1.0, 5.0, 3.0, 5.0, 5.0, 4.0, 4.0, 2.0, 5.0, 5.0, 4.0, 1.0, 5.0, 5.0, 4.0, 5.0, 3.0]	[-91912.0, -121089.0, 219733.0, -73360.0, 155574.0, 9330.0, 135339.0, 149877.0, 30940.0, 24968.0, -40733.0, 149849.0, 212560.0, 75018.0, -80544.0, 176096.0, 164248.0, 30752.0, 117664.0, -10047.0]	[265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102, 265102]
245078-IMAGE_RGB_083_224x224_657dd0_324dd0_37dd2499131_0dd6249757499999973_133dd0_224x224.png	1	0	0.0034790095	0.592511	37.277353	24	1.0	1.0	2015	POINT (37.277353 0.592511)	161180	245078-IMAGE_RGB_083_224x224_657dd0_324dd0_37dd2499131_0dd6249757499999973_133dd0_224x224.png	0.62497575	37.2499131	0.0425077417016284	2015	80	24	1.0	1.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 1.0, 3.0, 3.0, 1.0, 3.0, 2.0, 1.0, 1.0, 1.0, 4.0, 1.0, 1.0]	[-81576.0, -71640.0, -107081.0, -82023.0, -95821.0, -100675.0, -53362.0, -117632.0, -137821.0, -29859.0, -34678.0, -27793.0, -135074.0, -28432.0, -18948.0, -146124.0, -10133.0, -54490.0, -107314.0, -83736.0, -122019.0, 47291.0, -68666.0, -111804.0]	[157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795, 157795]
230220-IMAGE_RGB_083_224x224_628dd0_289dd0_34dd83324739999999_3dd5416412499999983_133dd0_224x224.png	0	0	2.6397234e-05	3.518869	34.856792	24	0.0	1.0	2014	POINT (34.856792 3.518869)	144673	230220-IMAGE_RGB_083_224x224_628dd0_289dd0_34dd83324739999999_3dd5416412499999983_133dd0_224x224.png	3.54164125	34.8332474	0.0327555118907116	2014	1028	24	0.0	1.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-156371.0, -207604.0, -174078.0, -182774.0, -183918.0, -139661.0, -170777.0, -175430.0, -211823.0, -191487.0, -195002.0, -183568.0, -133766.0, -201295.0, -182883.0, -181569.0, -211439.0, -195299.0, -156981.0, -180235.0, -169795.0, -217510.0, -152094.0, -196979.0]	[359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131, 359131]
249925-IMAGE_RGB_083_224x224_668dd0_364dd0_38dd166579399999996_-2dd7083562500000014_133dd0_224x224.png	1	0	0.15286049	-2.685938	38.158283	23	1.0	4.0	2014	POINT (38.158283 -2.685938)	166548	249925-IMAGE_RGB_083_224x224_668dd0_364dd0_38dd166579399999996_-2dd7083562500000014_133dd0_224x224.png	-2.70835625	38.1665794	0.0239041457915273	2014	683	23	1.0	4.0	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[5.0, 5.0, 4.0, 4.0, 5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0]	[132019.0, 138588.0, 78161.0, 50995.0, 97550.0, 115579.0, 55428.0, 159570.0, 143461.0, 109713.0, 136943.0, 77840.0, 54793.0, 96504.0, 78070.0, 34182.0, 80521.0, 76508.0, 50995.0, 41168.0, 33555.0, 76807.0, 93329.0]	[603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917, 603917]
238737-IMAGE_RGB_083_224x224_644dd0_305dd0_36dd166580200000006_2dd208308449999997_133dd0_224x224.png	0	0	0.033980045	2.195259	36.163667	24	0.0	1.0	2014	POINT (36.163667 2.195259)	154134	238737-IMAGE_RGB_083_224x224_644dd0_305dd0_36dd166580200000006_2dd208308449999997_133dd0_224x224.png	2.20830845	36.1665802	0.0133706723668823	2014	1035	24	0.0	1.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[-208181.0, -198463.0, -198989.0, -177988.0, -162594.0, -156966.0, -193810.0, -176074.0, -206645.0, -186634.0, -171073.0, -176541.0, -212931.0, -200736.0, -212547.0, -161687.0, -203332.0, -168530.0, -165987.0, -177712.0, -222684.0, -171096.0, -152139.0, -176603.0]	[421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081, 421081]
231372-IMAGE_RGB_083_224x224_630dd0_315dd0_34dd99991399999999_1dd374975449999997_133dd0_224x224.png	0	0	0.15894146	1.348723	34.993109	22	0.0	1.0	2014	POINT (34.993109 1.348723)	145952	231372-IMAGE_RGB_083_224x224_630dd0_315dd0_34dd99991399999999_1dd374975449999997_133dd0_224x224.png	1.37497545	34.999914	0.0271200876842702	2014	1052	22	0.0	1.0	[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0]	[-129498.0, -65065.0, -113211.0, -74706.0, -63091.0, -129044.0, -77723.0, -51353.0, -86716.0, -59567.0, -133533.0, -126865.0, -100664.0, -114025.0, -102753.0, -145535.0, -148872.0, -40005.0, -132913.0, -28991.0, -66079.0, -117157.0]	[274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755, 274755]
235756-IMAGE_RGB_083_224x224_638dd0_342dd0_35dd6665804_-0dd8750236500000028_133dd0_224x224.png	1	1	0.9924454	-0.8376689999999999	35.63004	25	1.0	2.0	2014	POINT (35.63004 -0.8376689999999999)	150822	235756-IMAGE_RGB_083_224x224_638dd0_342dd0_35dd6665804_-0dd8750236500000028_133dd0_224x224.png	-0.87502365	35.6665804	0.0522548630156323	2014	1364	25	1.0	2.0	[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]	[2.0, 2.0, 4.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 4.0, 1.0, 2.0, 2.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 4.0, 1.0, 2.0]	[-50786.0, -48919.0, 62500.0, -97847.0, -130954.0, -24247.0, -45754.0, -110343.0, -19988.0, 27109.0, -130722.0, -45639.0, -30291.0, -42185.0, -10708.0, -58905.0, -115012.0, -88131.0, -65080.0, -57043.0, -138614.0, 20796.0, 38563.0, -110789.0, -55674.0]	[2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988, 2486988]
